"ts","sessionid","level","iteminsession","city","zip","state","useragent","lon","lat","userid","lastname","firstname","gender","registration","success","month","day","hour"
2023-11-28 00:00:24.000,88414,free,7,Central Falls,,RI,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-71.393481,41.890064,,,,,,false,,,0
2023-11-28 00:00:37.000,8234,free,1,North Miami Beach,,FL,"""Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-80.135801,25.933997,8235,Ayers,Emmett,M,1543255200000,true,,,0
2023-11-28 00:01:39.000,218713,free,4,Folsom,,CA,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,-121.141635,38.666597,72029,Johnson,Dia,M,1543255200000,true,,,0
2023-11-28 00:02:57.000,228334,paid,24,Moorhead,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-96.735562,46.842028,16379,Branch,Yaseen,M,1572376487000,true,,,0
2023-11-28 00:02:58.000,228235,paid,19,Hollywood,,FL,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-80.281374,25.98821,94716,Snow,Jaelyn,F,1567258540000,true,,,0
2023-11-28 00:04:12.000,214531,paid,2,Columbia,,MD,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9""",-76.87911,39.205869,96302,Aguilar,Kaiden,M,1543255200000,true,,,0
2023-11-28 00:06:15.000,12895,free,2,Concord,,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-122.040624,37.995283,,,,,,false,,,0
2023-11-28 00:07:17.000,94976,paid,1,Jersey City,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-74.071875,40.734924,94977,Smith,Anthony,M,1661084362000,true,,,0
2023-11-28 00:09:31.000,231660,paid,1,Elwood,,IL,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-88.09971,41.431182,38457,Smith,Katherine,F,1543255200000,true,,,0
2023-11-28 00:09:32.000,157591,paid,9,Saint Helena,,CA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-122.419923,38.542448,90526,Reyes,Troyce,M,1543255200000,true,,,0
2023-11-28 00:09:35.000,238824,free,5,Lancaster,,PA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,-76.314914,40.074241,87336,Cameron,Amani,F,1543255200000,true,,,0
2023-11-28 00:11:16.000,217655,paid,1,Fort Wayne,,IN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-85.0408,41.15298,34223,Alexander,Bailey,F,1692953370000,true,,,0
2023-11-28 00:12:07.000,32519,free,10,Franklin,,MA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-71.410571,42.084858,32520,Wood,Regan,M,1543255200000,true,,,0
2023-11-28 00:13:10.000,70415,free,4,Lee,,MA,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",-73.230148,42.297501,70416,Barajas,Zephaniah,M,1543255200000,true,,,0
2023-11-28 00:13:27.000,41076,free,3,West Alexandria,,OH,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-84.524833,39.725292,41077,Clayton,William,M,1670577890000,true,,,0
2023-11-28 00:14:29.000,215202,paid,2,Camarillo,,CA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-118.988163,34.198821,27012,Brown,Hope,F,1606180502000,true,,,0
2023-11-28 00:15:13.000,217578,paid,1,Fancy Gap,,VA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",-80.700836,36.645356,58837,Bates,Logan,M,1543255200000,true,,,0
2023-11-28 00:15:47.000,166410,free,2,Augusta,,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-82.085688,33.523809,76462,Coleman,Donald,M,1543255200000,true,,,0
2023-11-28 00:16:24.000,238824,free,10,Lancaster,,PA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,-76.314914,40.074241,87336,Cameron,Amani,F,1543255200000,true,,,0
2023-11-28 00:16:32.000,236716,paid,2,Los Angeles,,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-118.350411,34.07041,67658,Williams,Emily,F,1543255200000,true,,,0
2023-11-28 00:16:44.000,200862,paid,1,Labelle,,FL,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-81.432858,26.760328,29986,Dixon,Anderson,M,1543255200000,true,,,0
2023-11-28 00:16:46.000,38814,free,5,South Portland,,ME,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),-70.285989,43.631402,38815,Smith,Soledad,F,1597958238000,true,,,0
2023-11-28 00:18:02.000,209502,free,2,Rio Rancho,,NM,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-106.705446,35.3252,90387,Cox,Ryan,M,1543255200000,true,,,0
